time, bid price, ask price, bid quantity, ask quantity, spread,
Mon Feb 10 23:12:44 2020, 9855.5, 9856.0, 1951325.0, 1413925.0, 0.5 USD,
Mon Feb 10 23:12:46 2020, 9855.5, 9856.0, 1953545.0, 1417904.0, 0.5 USD,
Mon Feb 10 23:12:48 2020, 9855.5, 9856.0, 1893725.0, 1417457.0, 0.5 USD,
Mon Feb 10 23:12:50 2020, 9855.5, 9856.0, 1926260.0, 1410836.0, 0.5 USD,
Mon Feb 10 23:12:52 2020, 9855.5, 9856.0, 1836290.0, 1400762.0, 0.5 USD,
Mon Feb 10 23:12:54 2020, 9855.5, 9856.0, 1897038.0, 1399796.0, 0.5 USD,
Mon Feb 10 23:12:56 2020, 9855.5, 9856.0, 1927532.0, 1383266.0, 0.5 USD,
Mon Feb 10 23:12:58 2020, 9855.5, 9856.0, 1917532.0, 1382895.0, 0.5 USD,
Mon Feb 10 23:13:00 2020, 9855.5, 9856.0, 1957566.0, 1382895.0, 0.5 USD,
Mon Feb 10 23:13:02 2020, 9855.5, 9856.0, 1886128.0, 1415960.0, 0.5 USD,
Mon Feb 10 23:13:04 2020, 9855.5, 9856.0, 1988505.0, 1415660.0, 0.5 USD,
Mon Feb 10 23:13:06 2020, 9855.5, 9856.0, 1987530.0, 1415930.0, 0.5 USD,
Mon Feb 10 23:13:08 2020, 9855.5, 9856.0, 1987060.0, 1432380.0, 0.5 USD,
Mon Feb 10 23:13:10 2020, 9855.5, 9856.0, 1927060.0, 1432380.0, 0.5 USD,
Mon Feb 10 23:13:12 2020, 9855.5, 9856.0, 1927090.0, 1431710.0, 0.5 USD,
Mon Feb 10 23:13:14 2020, 9855.5, 9856.0, 1968132.0, 1413944.0, 0.5 USD,
Mon Feb 10 23:13:16 2020, 9855.5, 9856.0, 2030131.0, 1423974.0, 0.5 USD,
Mon Feb 10 23:13:18 2020, 9855.5, 9856.0, 1999923.0, 1427411.0, 0.5 USD,
Mon Feb 10 23:13:20 2020, 9855.5, 9856.0, 1995026.0, 1421506.0, 0.5 USD,
Mon Feb 10 23:13:22 2020, 9855.5, 9856.0, 1974799.0, 1419986.0, 0.5 USD,
Mon Feb 10 23:13:24 2020, 9855.5, 9856.0, 1970832.0, 1418986.0, 0.5 USD,
Mon Feb 10 23:13:27 2020, 9855.5, 9856.0, 1961701.0, 1418284.0, 0.5 USD,
Mon Feb 10 23:13:29 2020, 9855.5, 9856.0, 1949830.0, 1465508.0, 0.5 USD,
Mon Feb 10 23:13:31 2020, 9855.5, 9856.0, 1949292.0, 1484508.0, 0.5 USD,
Mon Feb 10 23:13:33 2020, 9855.5, 9856.0, 1950395.0, 1495419.0, 0.5 USD,
Mon Feb 10 23:13:35 2020, 9855.5, 9856.0, 1952561.0, 1503189.0, 0.5 USD,
Mon Feb 10 23:13:37 2020, 9855.5, 9856.0, 1952561.0, 1522889.0, 0.5 USD,
Mon Feb 10 23:13:39 2020, 9855.5, 9856.0, 1868873.0, 1548928.0, 0.5 USD,
Mon Feb 10 23:13:41 2020, 9855.5, 9856.0, 1771319.0, 1601053.0, 0.5 USD,
Mon Feb 10 23:13:43 2020, 9855.5, 9856.0, 1771619.0, 1611787.0, 0.5 USD,
Mon Feb 10 23:13:46 2020, 9855.5, 9856.0, 1771619.0, 1556471.0, 0.5 USD,
Mon Feb 10 23:13:48 2020, 9855.5, 9856.0, 1781319.0, 1560344.0, 0.5 USD,
Mon Feb 10 23:13:50 2020, 9855.5, 9856.0, 1786169.0, 1555666.0, 0.5 USD,
Mon Feb 10 23:13:52 2020, 9855.5, 9856.0, 1778169.0, 1555666.0, 0.5 USD,
Mon Feb 10 23:13:54 2020, 9855.5, 9856.0, 1853169.0, 1540666.0, 0.5 USD,
Mon Feb 10 23:13:56 2020, 9855.5, 9856.0, 2203199.0, 1552996.0, 0.5 USD,
Mon Feb 10 23:13:58 2020, 9855.5, 9856.0, 2288424.0, 1526081.0, 0.5 USD,
Mon Feb 10 23:14:00 2020, 9855.5, 9856.0, 2289501.0, 1526111.0, 0.5 USD,
Mon Feb 10 23:14:02 2020, 9855.5, 9856.0, 2272113.0, 1527881.0, 0.5 USD,
Mon Feb 10 23:14:04 2020, 9855.5, 9856.0, 2288716.0, 1523827.0, 0.5 USD,
Mon Feb 10 23:14:06 2020, 9855.5, 9856.0, 2281490.0, 1523586.0, 0.5 USD,
Mon Feb 10 23:14:08 2020, 9855.5, 9856.0, 2281104.0, 1523586.0, 0.5 USD,
Mon Feb 10 23:14:10 2020, 9855.5, 9856.0, 2265507.0, 1534182.0, 0.5 USD,
Mon Feb 10 23:14:12 2020, 9855.5, 9856.0, 2215507.0, 1539402.0, 0.5 USD,
Mon Feb 10 23:14:14 2020, 9855.5, 9856.0, 2330299.0, 1539155.0, 0.5 USD,
Mon Feb 10 23:14:16 2020, 9855.5, 9856.0, 2340829.0, 1539185.0, 0.5 USD,
Mon Feb 10 23:14:18 2020, 9855.5, 9856.0, 2348017.0, 1540455.0, 0.5 USD,
Mon Feb 10 23:14:20 2020, 9855.5, 9856.0, 2310017.0, 1540155.0, 0.5 USD,
Mon Feb 10 23:14:22 2020, 9855.5, 9856.0, 2305393.0, 1547159.0, 0.5 USD,
Mon Feb 10 23:14:24 2020, 9855.5, 9856.0, 2295390.0, 1547459.0, 0.5 USD,
Mon Feb 10 23:14:27 2020, 9855.5, 9856.0, 2295460.0, 1542159.0, 0.5 USD,
Mon Feb 10 23:14:29 2020, 9855.5, 9856.0, 2278245.0, 1399504.0, 0.5 USD,
Mon Feb 10 23:14:31 2020, 9855.5, 9856.0, 2303815.0, 1423728.0, 0.5 USD,
Mon Feb 10 23:14:33 2020, 9855.5, 9856.0, 2255081.0, 1418033.0, 0.5 USD,
Mon Feb 10 23:14:35 2020, 9855.5, 9856.0, 2255951.0, 1421033.0, 0.5 USD,
Mon Feb 10 23:14:37 2020, 9855.5, 9856.0, 2315981.0, 1402059.0, 0.5 USD,
Mon Feb 10 23:14:39 2020, 9855.5, 9856.0, 2241060.0, 1402029.0, 0.5 USD,
Mon Feb 10 23:14:41 2020, 9855.5, 9856.0, 2346060.0, 1402029.0, 0.5 USD,
Mon Feb 10 23:14:43 2020, 9855.5, 9856.0, 2332910.0, 1321228.0, 0.5 USD,
Mon Feb 10 23:14:45 2020, 9855.5, 9856.0, 2332380.0, 1321228.0, 0.5 USD,
Mon Feb 10 23:14:47 2020, 9855.5, 9856.0, 2332379.0, 1321228.0, 0.5 USD,
Mon Feb 10 23:14:49 2020, 9855.5, 9856.0, 2332399.0, 1321228.0, 0.5 USD,
Mon Feb 10 23:14:51 2020, 9855.5, 9856.0, 1913399.0, 1323525.0, 0.5 USD,
Mon Feb 10 23:14:53 2020, 9855.5, 9856.0, 1913399.0, 1328525.0, 0.5 USD,
Mon Feb 10 23:14:55 2020, 9855.5, 9856.0, 1933429.0, 1328525.0, 0.5 USD,
Mon Feb 10 23:14:57 2020, 9855.5, 9856.0, 1933446.0, 1328642.0, 0.5 USD,
Mon Feb 10 23:14:59 2020, 9855.5, 9856.0, 1933063.0, 1331594.0, 0.5 USD,
Mon Feb 10 23:15:01 2020, 9855.5, 9856.0, 1916323.0, 1331229.0, 0.5 USD,
Mon Feb 10 23:15:04 2020, 9855.5, 9856.0, 1916078.0, 1318525.0, 0.5 USD,
Mon Feb 10 23:15:06 2020, 9855.5, 9856.0, 1904560.0, 1318812.0, 0.5 USD,
Mon Feb 10 23:15:08 2020, 9855.5, 9856.0, 1890409.0, 1319138.0, 0.5 USD,
Mon Feb 10 23:15:10 2020, 9855.5, 9856.0, 1881124.0, 1321540.0, 0.5 USD,
Mon Feb 10 23:15:12 2020, 9855.5, 9856.0, 1883386.0, 1326224.0, 0.5 USD,
Mon Feb 10 23:15:14 2020, 9855.5, 9856.0, 1883386.0, 1412694.0, 0.5 USD,
Mon Feb 10 23:15:16 2020, 9855.5, 9856.0, 1883386.0, 1414049.0, 0.5 USD,
Mon Feb 10 23:15:18 2020, 9855.5, 9856.0, 1883428.0, 1412749.0, 0.5 USD,
Mon Feb 10 23:15:20 2020, 9855.5, 9856.0, 1958428.0, 1407745.0, 0.5 USD,
Mon Feb 10 23:15:22 2020, 9855.5, 9856.0, 2342161.0, 1408575.0, 0.5 USD,
Mon Feb 10 23:15:24 2020, 9855.5, 9856.0, 2324627.0, 1413773.0, 0.5 USD,
Mon Feb 10 23:15:26 2020, 9855.5, 9856.0, 2384627.0, 1408828.0, 0.5 USD,
Mon Feb 10 23:15:28 2020, 9855.5, 9856.0, 2341411.0, 907515.0, 0.5 USD,
Mon Feb 10 23:15:30 2020, 9855.5, 9856.0, 1594449.0, 1522402.0, 0.5 USD,
Mon Feb 10 23:15:32 2020, 9855.5, 9856.0, 717964.0, 1576429.0, 0.5 USD,
Mon Feb 10 23:15:34 2020, 9855.5, 9856.0, 432217.0, 1654724.0, 0.5 USD,
Mon Feb 10 23:15:36 2020, 9855.5, 9856.0, 411298.0, 1784872.0, 0.5 USD,
Mon Feb 10 23:15:38 2020, 9855.5, 9856.0, 357296.0, 1884065.0, 0.5 USD,
Mon Feb 10 23:15:40 2020, 9855.5, 9856.0, 270087.0, 1984049.0, 0.5 USD,
Mon Feb 10 23:15:42 2020, 9855.5, 9856.0, 236617.0, 1991459.0, 0.5 USD,
Mon Feb 10 23:15:44 2020, 9855.5, 9856.0, 126293.0, 2200545.0, 0.5 USD,
Mon Feb 10 23:15:46 2020, 9855.5, 9856.0, 96055.0, 2347560.0, 0.5 USD,
Mon Feb 10 23:15:48 2020, 9855.5, 9856.0, 96025.0, 2492782.0, 0.5 USD,
Mon Feb 10 23:15:50 2020, 9855.5, 9856.0, 94325.0, 2573833.0, 0.5 USD,
Mon Feb 10 23:15:52 2020, 9855.5, 9856.0, 124551.0, 2682957.0, 0.5 USD,
Mon Feb 10 23:15:54 2020, 9855.5, 9856.0, 124051.0, 2774482.0, 0.5 USD,
Mon Feb 10 23:15:56 2020, 9855.5, 9856.0, 27442.0, 2913551.0, 0.5 USD,
Mon Feb 10 23:15:59 2020, 9854.5, 9855.0, 24490.0, 3317703.0, 0.5 USD,
Mon Feb 10 23:16:01 2020, 9854.5, 9855.0, 37332.0, 3621513.0, 0.5 USD,
Mon Feb 10 23:16:03 2020, 9854.5, 9855.0, 25912.0, 3576140.0, 0.5 USD,
Mon Feb 10 23:16:05 2020, 9854.5, 9855.0, 25818.0, 3574947.0, 0.5 USD,
Mon Feb 10 23:16:07 2020, 9854.5, 9855.0, 24938.0, 3567939.0, 0.5 USD,
Mon Feb 10 23:16:09 2020, 9854.5, 9855.0, 20888.0, 3649969.0, 0.5 USD,
Mon Feb 10 23:16:11 2020, 9852.5, 9853.0, 116259.0, 2551532.0, 0.5 USD,
Mon Feb 10 23:16:13 2020, 9852.5, 9853.0, 67020.0, 2623239.0, 0.5 USD,
Mon Feb 10 23:16:15 2020, 9852.5, 9853.0, 60550.0, 2650915.0, 0.5 USD,
Mon Feb 10 23:16:17 2020, 9852.5, 9853.0, 60778.0, 2923635.0, 0.5 USD,
Mon Feb 10 23:16:19 2020, 9852.5, 9853.0, 46694.0, 2950008.0, 0.5 USD,
